eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
0,463,6,15,4.883,45.533,3.7,0.63
1,469,11,15,-0.55,47.467,3.2,0.51
2,484,6,15,3.083,45.783,3.1,0.55
3,527,6,15,3.083,45.783,3.1,0.55
4,577,4,18,0.25,47.167,4.7,0.49
5,580,6,15,0.683,47.4,3.2,0.51
6,580,6,15,0,43.033,5.3,0.55
7,582,6,15,-0.55,47.467,3.2,0.51
8,584,12,15,-0.55,47.467,3.2,0.51
9,590,6,14,0.683,47.4,4,0.49
10,782,8,13,7.933,49.033,3.8,0.53
11,799,4,8,7.933,49.033,3.1,0.55
12,815,9,15,-0.633,45.75,3.2,0.51
13,842,10,24,0.767,49.533,4.5,0.43
14,843,9,6,0.767,49.533,3.3,0.51
15,849,2,18,6.583,47.833,5.9,0.55
16,922,6,15,3.233,50.183,5.5,0.54
17,1000,3,29,4.583,50.5,3.7,0.79
18,1013,11,18,5.583,50.65,3.48,0.3
19,1014,6,15,0.15,45.65,5.4,0.5
20,1021,5,12,10.576,48.073,3.85,0.3
21,1035,5,23,9.409,51.778,3.48,0.3
22,1065,3,27,10.214,45.544,5.3,0.33
23,1076,4,22,5.033,47.317,5.7,0.49
24,1079,7,17,3.217,47.6,4.5,0.52
25,1080,12,1,8.267,50,5.44,0.3
26,1081,3,27,4.267,50.35,3.7,0.79
27,1083,3,21,-0.1,47.017,4.6,0.44
28,1088,5,11,8.267,50,3.48,0.3
29,1091,11,2,-1.6,48.8,4,0.44
30,1097,10,13,0.35,46.583,3.8,0.44
31,1098,10,4,-0.1,47.017,4.7,0.49
32,1102,1,30,-0.55,47.467,3.2,0.51
33,1105,4,13,0.35,46.583,3.8,0.44
34,1106,5,4,-0.55,47.467,3.2,0.51
35,1112,6,15,-1.75,48.55,3.2,0.51
36,1121,12,10,5.4,50.667,3.48,0.3
37,1127,3,25,8.133,47.767,3.48,0.3
38,1128,6,29,9.132,48.364,3.48,0.3
39,1133,8,4,-2.1,51.59,3,0.3
40,1134,1,12,8.133,47.767,3.48,0.3
41,1141,4,24,6.1,50.767,3.48,0.3
42,1142,1,7,0.933,49.483,4,0.49
43,1151,12,5,0.983,49.233,3.2,0.51
44,1152,12,11,2.183,42.2,2.9,0.53
45,1155,1,18,5.833,46.917,5.2,0.54
46,1155,4,14,-1.517,48.633,3.2,0.51
47,1155,10,16,5.033,47.317,3,0.54
48,1160,1,1,-1.1,49.117,3.2,0.51
49,1163,8,2,-0.317,47.367,3.8,0.45
50,1165,6,20,-0.317,47.367,3.8,0.45
51,1167,1,20,6.95,50.933,3.48,0.3
52,1168,1,10,10.401,43.716,4.54,0.3
53,1168,2,16,-1.517,48.633,3.2,0.51
54,1169,10,9,-0.55,47.467,4.3,0.49
55,1173,1,20,4.817,44.367,1.1,0.98
56,1179,8,1,5.808,50.829,3.7,0.3
57,1182,8,15,8.898,44.419,4.75,0.32
58,1182,9,29,-1.517,48.633,3.2,0.51
59,1183,12,15,10.994,45.438,4.93,0.34
60,1185,4,15,-0.781,53.111,4.29,0.47
61,1186,3,22,4.467,44.033,4.8,1.22
62,1189,2,28,6.833,49.583,5.2,0.45
63,1196,6,15,10.913,43.932,4.75,0.32
64,1197,6,15,10.22,45.55,5.03,0.33
65,1201,5,22,-2.72,50.95,3.5,0.3
66,1207,2,25,-0.55,47.467,3.2,0.51
67,1208,6,13,0.083,45.75,5,0.45
68,1214,12,20,1.083,49.433,3,0.54
69,1216,3,3,0.35,45.333,5,0.49
70,1217,1,8,8.898,44.419,4.54,0.3
71,1222,12,25,10.697,45.313,5.95,0.47
72,1223,1,11,6.934,50.867,4.87,0.33
73,1224,11,15,3,42.5,5.4,0.47
74,1225,10,1,7.267,48.033,3,0.54
75,1225,10,27,6.016,53.401,4.79,0.3
76,1233,4,3,1.267,45.833,3,0.54
77,1239,9,18,7.2,47.55,4.8,0.52
78,1241,9,23,-0.367,49.183,4,0.49
79,1247,2,13,-0.124,51.49,4,0.3
80,1247,2,20,-5.376,53.125,5.87,0.47
81,1248,12,23,-2.66,51.2,4,0.3
82,1249,8,16,10.334,48.754,3.48,0.3
83,1249,9,15,10.925,44.647,5.11,0.34
84,1267,2,1,6.033,47.25,3.1,0.55
85,1275,9,11,-2.603,51.157,5.1,0.39
86,1276,7,29,9.558,45.085,4.76,0.3
87,1279,9,2,7.567,48.333,4.1,0.43
88,1280,1,25,10.682,44.817,4.51,0.34
89,1280,10,26,7.35,48.083,3,0.54
90,1282,3,15,6.183,44.55,3,0.52
91,1286,8,30,-2.767,47.65,5.4,0.5
92,1289,9,24,7.75,48.583,4.5,0.53
93,1291,2,14,0.05,48.983,4.7,0.49
94,1291,9,10,8.217,49.333,4.8,0.44
95,1293,3,15,10.913,43.932,5.57,0.31
96,1295,4,3,7.667,48,3.9,0.44
97,1295,9,3,9.54,46.78,6.21,0.36
98,1296,2,12,0.167,47.283,3.2,0.51
99,1299,1,4,-0.219,51.995,4.37,0.3
100,1301,11,30,7.533,44.383,4.8,0.63
101,1302,2,19,0.167,43,5,0.54
102,1304,10,23,10.149,45.01,4.99,0.3
103,1304,12,18,8.954,45.352,4.51,0.34
104,1306,7,15,10.505,43.843,4.75,0.32
105,1309,3,24,3.433,43.383,4.3,0.43
106,1311,6,15,7.327,44.885,4.36,0.3
107,1312,6,15,1.5,48.45,3,0.54
108,1312,11,12,-0.633,45.75,3.2,0.51
109,1316,9,10,1,46.667,5.4,0.5
110,1318,2,15,0.35,46.583,3.2,0.51
111,1322,6,15,10.401,43.716,4.54,0.3
112,1322,10,16,6.4,46.367,3.9,0.43
113,1322,12,29,6.033,47.25,3.8,0.53
114,1326,8,2,7.6,43.783,3,0.54
115,1330,7,7,-0.733,46.367,3.2,0.51
116,1334,12,4,10.994,45.438,4.86,0.3
117,1335,12,29,0.383,45.433,5.4,0.5
118,1343,3,28,-0.444,53.464,3.9,0.3
119,1344,6,15,1.217,44.883,3,0.54
120,1345,1,31,10.564,44.81,4.54,0.3
121,1348,6,21,1.567,45.417,3,0.54
122,1356,10,18,7.6,47.483,6.5,0.53
123,1356,11,15,7.6,47.55,3.9,0.67
124,1357,5,5,9.18,47.67,3.9,0.67
125,1357,5,9,8,49.25,5.2,0.53
126,1362,5,4,7.75,48.583,3.1,0.55
127,1362,7,8,7.75,48.583,3.1,0.55
128,1363,7,3,7.1,47.817,5.2,0.53
129,1364,5,11,7.433,48.2,4.4,0.43
130,1365,9,21,10.994,45.438,4.54,0.3
131,1366,6,15,0.6,42.8,2.9,0.56
132,1369,2,1,8.615,44.913,5.11,0.34
133,1372,6,1,7.3,47.75,5.6,0.43
134,1373,3,3,0.717,42.717,6.5,0.45
135,1373,3,19,0.684,42.633,3.95,0.5
136,1373,3,19,2.55,42.05,6.1,0.49
137,1373,9,22,3.867,43.617,2.5,0.65
138,1374,6,15,3.883,45.05,3.1,0.55
139,1376,2,21,3.5,43.15,4.7,0.43
140,1379,6,15,5.717,45.183,2.6,0.65
141,1381,4,27,2.9,42.7,2.8,0.56
142,1382,5,21,2,51.333,6,0.51
143,1383,7,24,9.915,45.058,4.38,0.3
144,1386,11,5,-1.55,47.217,3.2,0.51
145,1387,5,28,-1.55,47.217,3.2,0.51
146,1391,3,23,7.233,47.617,3.2,0.5
147,1393,10,7,4.067,48.3,3,0.54
148,1395,6,11,6.267,50.792,4.13,0.3
149,1396,11,26,9.274,45.584,5.36,0.33
150,1396,12,18,-0.304,39.172,6,0.43
151,1397,5,26,4.733,43.783,3.5,0.63
152,1397,5,28,2.817,41.983,2.8,0.56
153,1399,7,20,10.925,44.442,5.36,0.31
154,1399,10,15,-1.55,47.217,4,0.49
155,1402,6,15,10.994,45.438,4.75,0.32
156,1409,11,15,10.329,44.801,5.06,0.32
157,1410,6,10,10.994,45.438,4.72,0.25
158,1415,11,30,7.75,48.583,3.5,0.54
159,1416,7,21,7.6,47.55,4.5,0.53
160,1427,6,12,2.821,41.984,4.26,0.37
161,1427,6,14,2.792,41.884,5.04,0.52
162,1428,2,2,2.283,42.317,6.5,0.37
163,1428,2,2,3.883,45.05,4.9,0.53
164,1428,5,15,-1.55,47.217,4.7,0.49
165,1428,12,13,7.6,47.55,4.9,0.53
166,1438,6,11,10.239,44.844,5.58,0.31
167,1442,1,26,-0.55,47.467,4.7,0.49
168,1444,11,30,7.333,47.75,4.9,0.53
169,1445,3,21,10.994,45.438,4.54,0.3
170,1448,5,24,4.417,44.017,5,0.63
171,1448,5,25,2.172,41.642,5.18,0.3
172,1449,4,23,2.3,51.212,3.99,0.3
173,1449,6,15,7.327,44.885,3.98,0.3
174,1450,6,15,3.117,45.883,5.2,0.54
175,1454,9,14,7.6,47.55,3.1,0.55
176,1456,2,9,1.933,42.433,2.8,0.56
177,1459,1,12,7.65,48.05,3.1,0.55
178,1465,4,7,10.682,44.943,4.8,0.34
179,1465,10,11,7.65,48.05,3.1,0.55
180,1468,5,25,0.833,47.4,3.5,0.47
181,1469,2,13,7.75,48.583,3.1,0.55
182,1470,2,6,7.633,47.5,3.2,0.67
183,1470,2,16,7.617,47.8,4.1,0.43
184,1471,6,15,10.214,45.544,4.06,0.3
185,1472,3,22,7.6,47.55,3.5,0.47
186,1473,5,7,9.329,45.322,4.09,0.34
187,1474,3,11,10.925,44.647,4.6,0.31
188,1475,8,24,8.461,49.8,3.96,0.33
189,1477,6,29,3.1,45.833,5.8,0.58
190,1477,6,29,6.183,49.117,4.5,0.52
191,1478,2,24,10.33,47.75,4.13,0.5
192,1480,12,28,1.3,52.63,5.1,0.3
193,1481,2,6,10.343,43.932,4.51,0.34
194,1481,2,7,10.505,43.843,4.51,0.34
195,1481,5,7,10.13,44.274,5.62,0.3
196,1485,3,14,-0.55,47.467,4.7,0.49
197,1487,3,22,-0.55,47.467,3.2,0.51
198,1490,3,1,2.967,45.833,5.9,0.55
199,1490,6,14,2.967,44.333,3,0.54
200,1492,11,7,7.6,47.55,3.1,0.55
201,1493,3,9,-0.55,47.467,3.2,0.51
202,1494,6,23,7.317,43.983,5.4,0.59
203,1497,5,14,-0.4,47.567,5.2,0.55
204,1498,11,10,7.6,47.55,3.1,0.55
205,1499,1,2,7.6,47.55,3.9,0.67
206,1501,6,5,10.844,44.519,5.91,0.32
207,1502,5,15,7.533,44.383,4.8,0.63
208,1504,3,15,10.19,46.78,5.22,0.6
209,1504,5,27,6.15,46.217,2.6,0.65
210,1504,8,23,6.1,50.767,4.78,0.41
211,1507,6,15,7.327,44.885,3.98,0.3
212,1509,10,18,8.975,48.484,5.44,0.3
213,1509,12,13,5.783,43.833,5.3,0.64
214,1512,2,8,9.402,46.322,4.36,0.3
215,1512,8,25,-0.2,46.417,3.6,0.5
216,1512,12,12,10.994,45.438,3.87,0.34
217,1514,1,20,7.6,47.55,3.1,0.55
218,1515,10,25,10.92,45.133,4.64,0.57
219,1516,7,2,9.55,47.017,3.2,0.67
220,1517,4,4,9,48.67,4.46,0.5
221,1518,3,17,0.067,43.233,2.8,0.56
222,1521,1,26,10.345,45.676,4.83,0.25
223,1522,6,25,0.75,46.917,5.8,0.43
224,1522,10,5,9.751,45.117,4.9,0.49
225,1523,5,19,6.733,46.95,4.5,0.52
226,1523,12,27,7.867,48,4.9,0.53
227,1524,4,19,7.3,46.233,5.9,0.55
228,1524,9,15,-0.55,47.467,3.2,0.51
229,1525,9,3,4.833,47.017,3,0.54
230,1527,2,7,6.15,46.217,2.6,0.65
231,1527,10,4,10.913,43.932,5.36,0.33
232,1528,12,18,8.117,48.783,4.2,0.43
233,1529,7,3,10.024,45.136,4.09,0.34
234,1529,9,11,7.6,47.55,3.1,0.55
235,1531,10,10,9.37,47.42,3.85,0.6
236,1532,7,12,5.57,50.62,3.8,0.5
237,1533,11,17,9.33,47.48,4.32,0.6
238,1534,7,14,8.52,49.33,4.2,0.3
239,1534,10,6,9.37,47.42,3.35,0.59
240,1535,7,16,7.1,43.683,3.5,0.46
241,1535,11,10,5.45,47.567,4.1,0.43
242,1536,8,10,8.898,44.419,4.72,0.34
243,1536,8,17,10.933,44.364,5.29,0.51
244,1537,2,1,7.633,47.517,3.5,0.47
245,1537,9,22,-0.617,43.2,5,0.54
246,1537,11,15,8.48,44.307,4.75,0.32
247,1538,1,20,7.6,47.55,4.2,0.43
248,1538,9,22,7.617,47.567,3.9,0.67
249,1539,5,29,9.37,47.42,3.9,0.67
250,1540,7,18,7.6,47.55,3.1,0.55
251,1540,9,1,10.214,45.544,4.43,0.32
252,1540,11,12,3.483,45.417,4.4,0.44
253,1540,12,14,8.99,47.53,3.9,0.67
254,1541,10,22,8.909,44.761,5.3,0.52
255,1542,2,7,8.64,47.7,3.9,0.67
256,1542,5,14,7.417,45,4.4,0.62
257,1542,11,8,10,47.83,4.46,0.5
258,1543,9,3,2.15,43.933,3.4,0.53
